update_timestamp,effective_date,infections_published_daily,app_downloads_cumulated,app_downloads_android_cumulated,app_downloads_ios_cumulated,app_downloads_daily,app_downloads_android_daily,app_downloads_ios_daily,app_downloads_7days_avg,app_downloads_android_7days_avg,app_downloads_ios_7days_avg,app_downloads_7days_sum,app_downloads_android_7days_sum,app_downloads_ios_7days_sum
"2022-07-05T08:21:58,913",2020-07-11,378,15556835,8212317,7344518,52614,34607,18007,92116.42857142857,50560.0,41556.42857142857,644815,353920,290895
"2022-07-05T08:21:58,913",2020-07-12,248,15611397,8249451,7361946,54562,37134,17428,84768.42857142857,45893.142857142855,38875.28571428572,593379,321252,272127
"2022-07-05T08:21:58,913",2020-07-13,159,15681764,8295037,7386727,70367,45586,24781,77289.28571428571,42298.71428571428,34990.57142857143,541025,296091,244934
"2022-07-05T08:21:58,913",2020-07-14,412,15755671,8330162,7425509,73907,35125,38782,71093.71428571429,40058.57142857143,31035.14285714286,497656,280410,217246
"2022-07-05T08:21:58,913",2020-07-15,351,15817671,8363574,7454097,62000,33412,28588,62965.857142857145,38052.857142857145,24913.0,440761,266370,174391
"2022-07-05T08:21:58,913",2020-07-16,534,15880091,8400764,7479327,62420,37190,25230,62278.42857142857,37241.57142857143,25036.85714285714,435949,260691,175258
"2022-07-05T08:21:58,913",2020-07-17,583,15924070,8429639,7494431,43979,28875,15104,59978.42857142857,35989.857142857145,23988.571428571428,419849,251929,167920
"2022-07-05T08:21:58,913",2020-07-18,529,15962535,8455441,7507094,38465,25802,12663,57957.142857142855,34732.0,23225.14285714286,405700,243124,162576
"2022-07-05T08:21:58,913",2020-07-19,202,16001303,8481681,7519622,38768,26240,12528,55700.857142857145,33175.71428571428,22525.14285714286,389906,232230,157676
"2022-07-05T08:21:58,913",2020-07-20,249,16036100,8502055,7534045,34797,20374,14423,50619.42857142857,29574.0,21045.428571428572,354336,207018,147318
"2022-07-05T08:21:58,913",2020-07-21,522,16074386,8522300,7552086,38286,20245,18041,45530.71428571428,27448.285714285714,18082.428571428572,318715,192138,126577
"2022-07-05T08:21:58,913",2020-07-22,454,16157646,8542454,7615192,83260,20154,63106,48567.857142857145,25554.285714285714,23013.571428571428,339975,178880,161095
"2022-07-05T08:21:58,913",2020-07-23,569,16198501,8568071,7630430,40855,25617,15238,45487.142857142855,23901.0,21586.14285714286,318410,167307,151103
"2022-07-05T08:21:58,913",2020-07-24,815,16253862,8601235,7652627,55361,33164,22197,47113.142857142855,24513.714285714286,22599.428571428572,329792,171596,158196
"2022-07-05T08:21:58,913",2020-07-25,781,16306402,8633358,7673044,52540,32123,20417,49123.857142857145,25416.714285714286,23707.14285714286,343867,177917,165950
"2022-07-05T08:21:58,913",2020-07-26,305,16355911,8664924,7690987,49509,31566,17943,50658.28571428572,26177.571428571428,24480.714285714286,354608,183243,171365
"2022-07-05T08:21:58,913",2020-07-27,340,16399677,8691260,7708417,43766,26336,17430,51939.57142857143,27029.285714285714,24910.285714285714,363577,189205,174372
"2022-07-05T08:21:58,913",2020-07-28,633,16439752,8715304,7724448,40075,24044,16031,52195.142857142855,27572.0,24623.14285714286,365366,193004,172362
"2022-07-05T08:21:58,913",2020-07-29,684,16488247,8739759,7748488,48495,24455,24040,47228.71428571428,28186.428571428572,19042.285714285714,330601,197305,133296
"2022-07-05T08:21:58,913",2020-07-30,902,16524173,8760417,7763756,35926,20658,15268,46524.57142857143,27478.0,19046.571428571428,325672,192346,133326
"2022-07-05T08:21:58,913",2020-07-31,870,16556660,8782182,7774478,32487,21765,10722,43256.857142857145,25849.571428571428,17407.285714285714,302798,180947,121851
"2022-07-05T08:21:58,913",2020-08-01,955,16588297,8802763,7785534,31637,20581,11056,40270.71428571428,24200.714285714286,16070.0,281895,169405,112490
"2022-07-05T08:21:58,913",2020-08-02,240,16622264,8825336,7796928,33967,22573,11394,38050.42857142857,22916.0,15134.42857142857,266353,160412,105941
"2022-07-05T08:21:58,913",2020-08-03,509,16658235,8847946,7810289,35971,22610,13361,36936.857142857145,22383.714285714286,14553.142857142857,258558,156686,101872
"2022-07-05T08:21:58,913",2020-08-04,879,16719971,8868826,7851145,61736,20880,40856,40031.28571428572,21931.714285714286,18099.571428571428,280219,153522,126697
"2022-07-05T08:21:58,913",2020-08-05,741,16753659,8887262,7866397,33688,18436,15252,37916.0,21071.85714285714,16844.14285714286,265412,147503,117909
"2022-07-05T08:21:58,913",2020-08-06,1045,16786533,8907250,7879283,32874,19988,12886,37480.0,20976.14285714286,16503.85714285714,262360,146833,115527
"2022-07-05T08:21:58,913",2020-08-07,1147,16818212,8925966,7892246,31679,18716,12963,37364.57142857143,20540.571428571428,16824.0,261552,143784,117768
"2022-07-05T08:21:58,913",2020-08-08,1122,16845498,8942887,7902611,27286,16921,10365,36743.0,20017.714285714286,16725.285714285714,257201,140124,117077
"2022-07-05T08:21:58,913",2020-08-09,555,16876237,8962656,7913581,30739,19769,10970,36281.857142857145,19617.14285714286,16664.714285714286,253973,137320,116653
"2022-07-05T08:21:58,913",2020-08-10,436,16908129,8981503,7926626,31892,18847,13045,35699.142857142855,19079.571428571428,16619.571428571428,249894,133557,116337
"2022-07-05T08:21:58,913",2020-08-11,966,16943204,9001618,7941586,35075,20115,14960,31890.428571428572,18970.285714285714,12920.142857142857,223233,132792,90441
"2022-07-05T08:21:58,913",2020-08-12,1226,16983537,9024499,7959038,40333,22881,17452,32839.71428571428,19605.285714285714,13234.42857142857,229878,137237,92641
"2022-07-05T08:21:58,913",2020-08-13,1445,17023411,9047733,7975678,39874,23234,16640,33839.71428571428,20069.0,13770.714285714286,236878,140483,96395
"2022-07-05T08:21:58,913",2020-08-14,1449,17061591,9069546,7992045,38180,21813,16367,34768.42857142857,20511.428571428572,14257.0,243379,143580,99799
"2022-07-05T08:21:58,913",2020-08-15,1415,17098693,9092132,8006561,37102,22586,14516,36170.71428571428,21320.714285714286,14850.0,253195,149245,103950
"2022-07-05T08:21:58,913",2020-08-16,625,17141426,9119756,8021670,42733,27624,15109,37884.142857142855,22442.85714285714,15441.285714285714,265189,157100,108089
"2022-07-05T08:21:58,913",2020-08-17,561,17205696,9153761,8051935,64270,34005,30265,42509.57142857143,24608.285714285714,17901.285714285714,297567,172258,125309
"2022-07-05T08:21:58,913",2020-08-18,1390,17264407,9190112,8074295,58711,36351,22360,45886.142857142855,26927.714285714286,18958.428571428572,321203,188494,132709
"2022-07-05T08:21:58,913",2020-08-19,1510,17308989,9217250,8091739,44582,27138,17444,46493.142857142855,27535.85714285714,18957.285714285714,325452,192751,132701
"2022-07-05T08:21:58,913",2020-08-20,1707,17353307,9244845,8108462,44318,27595,16723,47128.0,28158.85714285714,18969.14285714286,329896,197112,132784
"2022-07-05T08:21:58,913",2020-08-21,1427,17401156,9273774,8127382,47849,28929,18920,48509.28571428572,29175.428571428572,19333.85714285714,339565,204228,135337
"2022-07-05T08:21:58,913",2020-08-22,2034,17436751,9296808,8139943,35595,23034,12561,48294.0,29239.428571428572,19054.571428571428,338058,204676,133382
"2022-07-05T08:21:58,913",2020-08-23,782,17479811,9324324,8155487,43060,27516,15544,48340.71428571428,29224.0,19116.714285714286,338385,204568,133817
"2022-07-05T08:21:58,913",2020-08-24,711,17518720,9348248,8170472,38909,23924,14985,44717.71428571428,27783.85714285714,16933.85714285714,313024,194487,118537
"2022-07-05T08:21:58,913",2020-08-25,1278,17558475,9372651,8185824,39755,24403,15352,42009.71428571428,26077.0,15932.714285714286,294068,182539,111529
"2022-07-05T08:21:58,913",2020-08-26,1576,17598002,9397421,8200581,39527,24770,14757,41287.57142857143,25738.714285714286,15548.857142857143,289013,180171,108842
"2022-07-05T08:21:58,913",2020-08-27,1507,17635881,9420900,8214981,37879,23479,14400,40367.71428571428,25150.714285714286,15217.0,282574,176055,106519
"2022-07-05T08:21:58,913",2020-08-28,1571,17669765,9441604,8228161,33884,20704,13180,38372.71428571428,23975.714285714286,14397.0,268609,167830,100779
"2022-07-05T08:21:58,913",2020-08-29,1479,17696946,9459090,8237856,27181,17486,9695,37170.71428571428,23183.14285714286,13987.57142857143,260195,162282,97913
"2022-07-05T08:21:58,913",2020-08-30,785,17725704,9478132,8247572,28758,19042,9716,35127.57142857143,21972.571428571428,13155.0,245893,153808,92085
"2022-07-05T08:21:58,913",2020-08-31,610,17759505,9498395,8261110,33801,20263,13538,34397.857142857145,21449.571428571428,12948.285714285714,240785,150147,90638
"2022-07-05T08:21:58,913",2020-09-01,1218,17797636,9518004,8279632,38131,19609,18522,34165.857142857145,20764.714285714286,13401.142857142857,239161,145353,93808
"2022-07-05T08:21:58,913",2020-09-02,1256,17831253,9537652,8293601,33617,19648,13969,33321.57142857143,20033.0,13288.57142857143,233251,140231,93020
"2022-07-05T08:21:58,913",2020-09-03,1311,17863759,9557003,8306756,32506,19351,13155,32554.0,19443.285714285714,13110.714285714286,227878,136103,91775
"2022-07-05T08:21:58,913",2020-09-04,782,17903409,9574011,8329398,39650,17008,22642,33377.71428571428,18915.285714285714,14462.42857142857,233644,132407,101237
"2022-07-05T08:21:58,913",2020-09-05,2049,17925347,9587578,8337769,21938,13567,8371,32628.714285714286,18355.428571428572,14273.285714285714,228401,128488,99913
"2022-07-05T08:21:58,913",2020-09-06,988,17948735,9602166,8346569,23388,14588,8800,31861.571428571428,17719.14285714286,14142.42857142857,223031,124034,98997
"2022-07-05T08:21:58,913",2020-09-07,814,17979159,9619814,8359345,30424,17648,12776,31379.14285714286,17345.571428571428,14033.57142857143,219654,121419,98235
"2022-07-05T08:21:58,913",2020-09-08,1499,18018098,9638134,8379964,38939,18320,20619,31494.571428571428,17161.428571428572,14333.142857142857,220462,120130,100332
